Name;Name on Shirt;Nationality;Age;Height(cm);Weight(Kg);Stronger foot;Favorite side;Register Position;Positions;Injury;Attack;Defence;Body balance;Stamina;Top speed;Response/Responsiveness;Explosive power;Dribble accuracy;Dribble speed;Short pass accuracy;Short pass speed;Long pass accuracy;Long pass speed;Shot accuracy;Shot power;Free kick accuracy;Swerve;Header Accuracy;Jump;Ball control;Mentality/Tenacity;Keeper skills;Teamwork;Form;Weak foot accuracy;Weak foot frequency
NEJEDL�;NEJEDLY;Republica Checa;25;174;73;L;R;SS; LWF RWF SS CF;1;93;39;75;83;83;86;85;90;84;85;78;83;76;90;87;77;76;77;79;91;82;45;83;7;6;6
BERTI VOGTS;VOGTS;Alemanha;25;168;67;R;R;RB; CWP CB LB RB DMF;2;71;93;84;95;87;94;88;77;79;78;77;80;79;69;82;73;74;83;93;81;97;50;89;8;6;5
HELMUT RAHN;RAHN;Alemanha;25;178;76;R;R;RWF; RWF SS;1;90;47;85;84;85;86;86;92;85;83;83;85;85;86;92;80;81;80;83;91;93;50;89;7;7;7
KLAUS FISCHER;FISCHER;Alemanha;25;178;75;L;R;CF; SS CF;1;93;40;86;85;85;90;85;84;83;77;74;77;76;93;85;75;78;91;87;86;85;50;82;7;7;6
P. LITTBARSKI;LITTBARSKI;Alemanha;25;168;64;R;R;LWF; LMF RMF AMF LWF RWF SS;1;87;47;76;84;88;81;94;97;95;86;84;86;84;86;88;88;86;74;78;94;79;40;79;7;7;7
RAY HOUGHTON;HOUGHTON;Rep. da Irlanda;25;170;68;R;R;RMF; LMF RMF AMF;1;80;55;79;87;85;83;87;85;88;85;85;84;82;76;85;81;83;74;79;84;86;45;85;6;7;6
NORMAN WHITESIDE;WHITESIDE;Irlanda do Norte;25;184;80;L;R;SS; AMF SS CF;1;85;55;90;83;77;85;84;87;82;82;83;81;81;84;87;79;83;89;85;88;82;50;84;6;5;4
JIMMY MCILROY;J. MCILROY;Irlanda do Norte;25;175;71;R;R;AMF; AMF SS;1;84;54;78;82;82;82;84;88;80;91;81;92;84;83;81;71;79;78;79;89;79;45;86;6;5;5
HUGHIE GALLACHER;GALLACHER;Escocia;25;165;64;R;R;CF; SS CF;2;91;39;83;81;86;87;90;91;88;82;75;79;74;89;89;68;71;88;89;88;82;50;79;6;7;7
MAURICIO ISLA;ISLA;Chile;25;176;74;R;R;RB; RB DMF CMF RMF;1;73;73;77;90;82;85;83;79;78;78;79;81;80;67;78;65;73;70;77;81;81;45;89;6;5;5
MANOLO SANCH�S;SANCHIS;Espanha;25;177;73;R;R;CB; CWP CB DMF;1;70;91;82;86;79;95;83;76;79;78;82;81;83;69;83;66;72;83;84;81;95;50;88;7;6;5
ALI MABKHOUT;MABKHOUT;Emirados Arabes Unidos;25;179;75;R;R;CF; LWF RWF CF;1;85;46;82;80;84;84;82;80;80;74;72;67;70;85;86;79;74;80;78;79;71;50;73;5;6;5
P. MCPARLAND;MCPARLAND;Irlanda do Norte;25;184;77;R;R;LWF; LWF CF;1;88;49;86;84;87;83;84;87;84;82;77;84;79;86;87;78;79;91;85;85;86;50;74;7;6;5
IGOR TUDOR;TUDOR;Croacia;25;193;86;R;R;CB; CB DMF;1;69;84;93;84;76;84;76;74;73;78;81;77;81;68;86;70;65;87;82;76;85;50;84;6;5;5
UGO FERRANTE;FERRANTE;Italia;25;188;82;R;R;CWP; CWP CB;2;69;86;88;85;78;85;81;81;77;79;76;77;78;69;84;69;74;87;84;79;86;50;86;8;6;5
WIM ANDERIESEN;ANDERIESEN;Holanda;25;187;82;R;R;CB; CB DMF;1;59;88;90;82;76;82;73;71;70;75;73;73;75;67;89;67;65;90;84;72;91;50;81;6;6;6
ALI KADHIM;KADHIM;Iraque;25;179;73;L;R;CF; CF;2;84;42;80;81;77;83;79;79;75;70;73;66;72;83;88;76;70;76;74;78;76;40;73;6;6;5
JULIO CRUZ;CRUZ;Argentina;25;190;79;R;R;CF; CF;2;87;48;85;82;77;85;78;81;77;78;78;72;74;86;85;83;82;86;78;83;82;45;85;6;7;6
S. URQUIAGA;URQUIAGA;Espanha;25;177;76;R;R;RB; RB;1;71;77;83;88;84;81;83;83;81;75;76;78;77;70;80;67;75;76;80;79;86;50;79;7;5;4
JORGE ANDRADE;ANDRADE;Portugal;25;184;78;R;R;CB; CB;1;63;85;86;84;86;86;83;74;78;72;76;68;73;66;82;60;58;76;87;74;77;50;78;7;6;5
DONATO;DONATO;Espanha;25;178;83;R;R;DMF; CB DMF CMF;2;70;81;82;88;77;86;81;78;76;79;78;77;76;72;86;80;74;78;76;84;86;50;88;7;5;5
GYULA L�ZAR;LAZAR;Hungria;25;174;70;L;R;DMF; CB LB DMF CMF LMF LWF SS;2;76;80;81;87;83;83;84;85;80;87;80;86;80;76;83;77;81;77;83;87;87;45;87;7;6;5
FERENC RUDAS;RUDAS;Hungria;25;179;75;R;R;RB; CB RB RMF;1;68;84;84;86;88;84;85;81;83;79;76;78;78;71;85;70;72;82;86;81;84;50;86;7;5;5
V. PONOMARYOV;PONOMARYOV;Russia;25;182;75;R;R;CB; CB RB CF;1;77;83;85;85;82;85;80;81;78;78;75;81;77;76;83;71;75;78;84;82;82;50;83;6;4;4
PODAN�;PODANY;Republica Checa;25;184;77;L;R;LMF; LB RB CMF LMF RMF;2;66;59;75;75;77;72;76;74;76;76;68;75;74;63;75;63;65;68;73;75;68;50;71;4;4;4
GERRIE M�HREN;MUHREN;Holanda;25;182;76;L;R;AMF; CMF LMF AMF;1;82;59;80;87;83;81;84;86;82;85;82;86;84;79;86;78;86;73;77;89;83;45;89;7;6;5
LYTOVCHENKO;LYTOVCHENKO;Ucrania;25;178;74;R;R;RMF; DMF CMF LMF RMF AMF;2;83;65;82;89;84;78;81;84;81;86;83;88;88;79;90;86;83;72;81;86;83;50;85;7;6;5
Z. R. SPOREL;SPOREL;Turquia;25;174;72;L;R;CF; SS CF;1;93;34;82;84;86;91;86;85;83;80;76;77;77;92;85;76;75;72;78;86;84;45;82;7;3;3
HENRY FROM;FROM;Dinamarca;25;183;80;R;R;GK; GK;1;30;87;86;68;70;92;82;55;56;55;58;58;62;41;84;44;46;45;89;52;89;93;81;7;4;4
MARTIN PETERS;PETERS;Inglaterra;25;184;76;R;R;AMF; CMF LMF RMF AMF LWF RWF SS;1;87;63;82;86;81;90;79;88;78;90;82;90;81;87;83;82;85;86;82;90;80;45;92;6;6;6
MATS HUMMELS;HUMMELS;Alemanha;25;192;90;R;R;CB; CWP CB DMF;1;74;90;88;85;80;88;78;80;78;84;85;87;88;72;81;70;72;88;84;82;85;50;88;7;6;5
P. THANGARAJ;THANGARAJ;India;25;190;85;R;R;GK; GK AMF CF;1;56;85;86;68;67;88;75;59;53;63;60;71;73;54;87;47;60;52;84;64;74;83;80;6;5;5
PEDRO PETRONE;PETRONE;Uruguai;25;178;78;R;R;CF; CF;1;94;35;83;83;92;90;89;83;84;77;76;75;73;89;96;73;72;83;86;84;79;50;71;6;7;6
F. JANICH;JANICH;Italia;25;181;82;R;R;CWP; CWP CB;2;59;88;85;80;76;83;73;75;70;75;72;75;76;62;78;60;63;82;83;79;81;50;82;7;5;5
D. POPIVODA;POPIVODA;Eslovenia;25;174;74;R;R;RWF; LMF RMF LWF RWF SS CF;1;85;53;83;87;87;85;90;85;88;82;82;83;82;79;79;74;80;73;79;87;85;50;82;7;6;7
MANDORLINI;MANDORLINI;Italia;25;182;74;L;R;DMF; CWP CB LB RB DMF;1;67;85;84;84;80;83;80;74;77;76;77;80;79;69;84;64;75;82;83;79;80;50;85;6;6;5
M. PANTI?;PANTIC;Servia;25;178;74;R;R;AMF; CMF RMF AMF RWF;1;84;55;78;83;80;79;84;87;81;88;86;94;91;83;87;95;93;80;74;86;80;40;84;6;6;7
CA�IZARES;CANIZARES;Espanha;25;181;78;R;R;GK; GK;2;30;90;86;70;70;94;84;58;54;60;62;69;66;45;83;46;53;48;87;56;93;90;85;8;5;5
PAUL MCSTAY;P. MCSTAY;Escocia;25;178;70;R;R;CMF; CMF RMF AMF;2;80;64;79;87;78;84;83;85;79;90;86;88;84;81;85;76;79;75;78;86;87;45;90;7;6;5
G. M'BIDA;MBIDA;Camaroes;25;182;78;R;R;CMF; CMF AMF;1;80;69;80;86;82;79;83;84;77;88;86;79;77;78;83;76;83;70;75;88;83;50;91;6;6;5
PAT JENNINGS;PAT JENNINGS;Irlanda do Norte;25;183;82;R;R;GK; GK;2;32;97;88;68;68;93;79;51;56;57;62;62;69;47;91;45;48;46;87;54;86;97;83;8;4;4
HAMI MANDIRALI;HAMI;Turquia;25;178;76;R;R;SS; AMF SS CF;1;88;39;83;84;83;88;82;84;80;83;81;82;83;85;96;87;78;82;81;85;78;50;81;7;6;5
ERWIN BALLABIO;BALLABIO;Suica;25;177;79;R;R;GK; GK;1;30;91;83;65;68;90;79;57;52;53;53;57;55;45;79;43;41;45;88;57;80;89;77;7;4;4
TREVOR FRANCIS;FRANCIS;Inglaterra;25;178;74;R;R;RWF; RMF RWF SS CF;1;87;51;77;84;89;86;90;89;90;77;75;82;82;85;84;73;82;84;81;87;79;50;76;7;5;5
TAFFAREL;TAFFAREL;Brasil;25;182;79;R;R;GK; GK;1;31;90;84;68;71;96;85;56;57;58;63;65;68;46;83;45;47;47;88;60;86;89;83;7;5;4
ARNE BRUSTAD;BRUSTAD;Noruega;25;178;70;R;R;LWF; LWF;2;87;45;79;85;87;83;89;90;87;83;78;84;80;84;84;76;78;73;77;88;87;50;82;7;5;4
FRODE GRODAS;GRODAS;Noruega;25;188;86;R;R;GK; GK;1;31;87;87;67;65;90;80;52;53;55;57;59;61;46;84;43;46;45;83;51;81;86;82;7;4;4
BALDIVIESO;BALDIVIESO;Bolivia;25;180;77;R;R;AMF; CMF LMF RMF AMF SS;1;78;46;81;82;77;76;82;85;80;85;81;83;82;76;87;81;83;75;77;85;75;45;76;5;6;6
MIGUEL RIMBA ;RIMBA;Bolivia;25;178;73;R;R;RB; CB LB RB;2;65;74;83;86;84;81;78;74;81;71;83;73;77;66;80;62;67;74;84;74;84;50;76;6;4;3
L. CRISTALDO;CRISTALDO;Bolivia;25;175;72;R;R;LB; LB RB LMF RMF;1;75;66;74;90;85;75;85;77;82;78;77;80;82;70;81;74;84;69;78;79;80;45;83;7;8;8
A. QUINTANO;QUINTANO;Chile;25;184;83;R;R;CB; CB;1;57;90;87;84;78;87;78;73;73;72;76;73;75;64;82;62;65;86;83;75;85;50;82;6;4;4
TITINA CASTILLO;CASTILLO;Peru;25;173;71;R;R;CMF; DMF CMF AMF;1;79;77;79;89;82;83;84;86;81;91;86;88;84;74;83;80;83;72;76;89;83;40;91;7;7;6
JUAN JOYA;JOYA;Peru;25;177;70;L;R;LWF; AMF LWF;1;87;44;85;86;93;84;93;91;94;83;82;85;84;83;86;77;84;79;85;90;67;50;68;4;5;4
MANOL MANOLOV;MANOLOV;Bulgaria;25;180;77;R;R;CB; CB;2;60;88;88;82;83;87;79;73;75;75;72;74;73;62;81;61;63;84;85;75;86;50;83;6;5;4
ANTTI NIEMI;NIEMI;Finlandia;25;185;83;R;R;GK; GK;1;30;88;85;68;70;93;75;50;54;58;65;60;66;44;83;44;48;44;83;54;80;88;74;7;4;4
ANTAL SZAB�;SZABO;Hungria;25;174;73;R;R;GK; GK;1;30;90;83;70;68;92;82;55;57;54;53;56;60;42;81;47;46;43;89;50;83;88;81;7;5;5
JEN� BUZ�NSZKY;BUZANSZKY;Hungria;25;175;76;R;R;RB; CB RB;1;70;83;83;86;83;82;83;82;83;78;78;82;80;68;83;68;72;83;85;83;86;50;87;7;5;5
GY�RGY ORTH;ORTH;Hungria;25;186;79;R;R;SS; DMF CMF LMF RMF AMF LWF RWF SS CF;1;89;60;85;84;85;85;85;94;89;85;84;85;84;86;85;82;85;83;84;94;84;50;83;6;7;7
ERICH OBERMAYER;OBERMAYER;Austria;25;182;76;R;R;CWP; CWP CB;2;62;88;84;82;80;92;75;75;73;79;73;85;75;67;82;65;75;82;81;78;88;50;87;7;6;6
G�ZA TAK�CS;TAKACS;Hungria;25;184;84;R;R;CB; CB RB;1;57;87;87;79;75;82;72;72;67;73;70;73;75;63;88;61;58;84;85;72;88;50;81;7;5;5
FRIEDEL LUTZ;LUTZ;Alemanha;25;179;76;R;R;RB; CB RB DMF CMF;1;69;77;84;85;86;81;84;78;80;80;76;79;78;68;85;67;74;81;82;79;85;50;83;6;6;5
P�TTINGER;POTTINGER;Alemanha;25;172;69;R;R;CF; SS CF;1;89;42;75;83;85;86;88;89;85;83;84;80;83;89;83;72;79;83;84;90;81;50;84;5;7;7
HORST SZYMANIAK;SZYMANIAK;Alemanha;25;177;76;L;R;DMF; DMF CMF LMF AMF SS;1;78;79;87;88;84;89;84;85;81;88;85;90;84;75;87;74;80;77;77;87;91;45;89;7;7;7
XHEVAT PREKAZI;PREKAZI;Albania;25;180;72;L;R;LMF; LMF LWF SS;1;84;48;81;83;84;82;86;86;84;82;78;88;86;81;92;83;84;73;78;85;83;45;85;7;5;4
HEINZ HERMANN;HERMANN;Suica;25;182;76;R;R;CMF; CB CMF LMF;1;83;67;83;87;84;83;82;84;82;83;83;85;82;80;84;75;80;82;83;84;86;50;89;8;6;6
ROBERT JARNI;R. JARNI;Croacia;25;180;77;L;R;LB; LB LMF;2;77;67;83;91;93;82;88;83;89;80;82;86;87;73;89;78;84;72;76;80;84;40;82;7;4;4
COSMIN CONTRA;CONTRA;Romenia;25;180;74;R;R;RB; RB RMF;2;76;68;82;87;83;81;83;82;83;79;78;81;80;71;86;80;77;73;80;83;86;50;82;7;6;5
DJAIR;DJAIR;Brasil;25;183;80;R;R;CMF; DMF CMF AMF;1;70;73;84;84;78;81;79;81;79;85;79;84;78;73;86;78;79;77;81;83;78;50;86;6;6;5
KHIDIYATULLIN;KHIDIYATULLIN;Russia;25;182;76;L;R;CWP; CWP CB DMF;1;70;89;84;85;81;91;82;80;75;75;84;79;85;78;80;70;68;80;82;80;88;50;91;6;7;7
PAULO DYBALA;DYBALA;Argentina;25;177;73;L;R;SS; RWF SS CF;2;88;40;80;84;84;87;87;86;85;82;83;78;80;88;83;90;86;79;82;87;80;50;83;7;5;4
S. CONCEI��O;CONCEICAO;Portugal;25;177;73;R;R;RMF; LMF RMF LWF RWF;2;81;55;82;86;87;81;88;84;88;79;78;83;84;76;84;77;78;70;77;84;80;40;78;6;6;5
BALTAZAR;BALTAZAR;Brasil;25;174;75;R;R;CF; CF;1;92;35;83;84;82;93;83;82;82;74;75;72;76;88;86;70;73;96;96;84;85;50;81;7;6;6
L. C. GUALTER;LUIS CARLOS;Brasil;25;178;76;R;R;CB; CB;1;65;87;85;83;78;87;77;79;78;81;80;80;80;67;83;68;70;85;88;81;86;50;84;6;6;5
F�BIO LUCIANO;FABIO LUCIANO;Brasil;25;191;81;R;R;CB; CWP CB;1;69;86;85;82;79;82;79;75;74;78;76;75;76;68;83;69;67;86;84;78;80;50;86;7;6;5
PALHINHA;PALHINHA;Brasil;25;172;64;R;R;AMF; LMF RMF AMF SS;2;84;45;75;83;83;80;86;85;85;86;83;84;81;84;80;85;85;80;79;86;76;45;82;6;6;5
WILSON PIAZZA;PIAZZA;Brasil;25;176;74;L;R;DMF; CWP CB DMF CMF;1;69;85;84;87;77;83;76;80;73;84;79;83;78;70;82;65;65;80;86;84;89;50;92;7;6;5
LORENZO BUFFON;BUFFON;Italia;25;188;79;L;R;GK; GK;2;30;92;86;65;68;94;80;51;53;53;57;60;67;45;83;46;45;46;86;55;85;91;82;6;4;4
DUDU;DUDU;Brasil;25;167;65;R;R;LWF; LMF RMF AMF LWF RWF SS;2;83;50;79;86;87;82;90;87;88;84;83;82;83;83;83;81;83;77;79;85;83;50;85;7;6;5
D�RNBERGER;DURNBERGER;Alemanha;25;175;73;R;R;CMF; LB RB DMF CMF LMF RMF LWF RWF;2;79;67;78;87;88;78;85;86;86;82;76;82;85;75;83;70;77;77;79;81;80;45;82;6;5;5
L. V. GERGELY;GERGELY;Romenia;25;172;68;R;R;CMF; DMF CMF RMF;1;74;75;79;90;82;83;84;83;79;86;80;84;80;72;84;73;78;75;78;84;86;50;85;6;5;5
CHICO;CHICO;Brasil;25;168;69;R;R;LWF; LWF RWF SS;2;85;37;78;83;88;79;91;89;86;81;77;84;79;80;86;73;79;73;76;85;80;40;79;7;6;7
PAULO V�TOR;PAULO VITOR;Brasil;25;182;78;R;R;GK; GK;1;32;85;82;69;69;89;84;56;60;59;61;60;62;45;82;45;48;46;88;58;84;88;81;7;5;4
CLAUDIO CA�APA;CACAPA;Brasil;25;184;79;R;R;CB; CB;1;59;84;88;82;75;82;77;75;75;75;75;73;76;64;82;64;68;83;83;77;82;50;82;6;5;5
EDINHO;EDINHO;Brasil;25;180;75;R;R;CB; CWP CB LB RB;1;72;90;87;85;83;88;83;81;80;79;79;83;81;73;87;87;80;88;87;82;89;50;84;7;6;6
BEN�;BENE;Brasil;25;174;72;R;R;CMF; DMF CMF AMF SS;1;77;68;83;88;83;83;82;84;79;87;81;85;80;78;79;78;79;76;83;87;78;50;87;7;6;5
NACHO FERNANDEZ;FERNANDEZ;Argentina;25;182;74;L;R;AMF; CMF LMF RMF AMF;1;79;58;77;84;77;75;78;85;81;84;82;84;81;76;81;78;82;71;75;85;73;45;84;5;5;4
JAIR GON�ALVES;JAIR;Brasil;25;177;72;R;R;DMF; CB RB DMF CMF RMF;2;74;76;82;88;84;80;82;79;78;81;81;83;82;73;82;74;78;80;81;81;82;50;87;8;5;5
M�RIO S�RGIO;MARIO SERGIO;Brasil;25;174;71;L;R;AMF; CMF AMF LWF SS;1;85;58;79;82;81;84;81;92;85;92;82;93;83;82;82;87;87;77;75;95;85;40;88;7;6;5
RENATO PORTALUPPI;RENATO;Brasil;25;184;83;R;R;RWF; LWF RWF SS CF;1;87;38;87;81;84;82;86;94;87;84;80;85;81;84;86;79;82;82;83;91;80;50;77;6;6;5
MARCELO GROHE;M. GROHE;Brasil;25;188;83;R;R;GK; GK;2;31;84;83;69;68;89;83;60;62;62;64;65;66;45;82;45;46;49;86;60;82;87;81;7;5;4
PEDRO GEROMEL;GEROMEL;Brasil;25;190;84;R;R;CB; CWP CB;2;69;86;87;84;79;86;78;77;77;78;77;78;77;67;80;64;69;83;82;78;88;50;86;7;5;5
HUGO DE LE�N;DE LEON;Uruguai;25;189;85;R;R;CB; CB RB;2;66;90;92;84;78;86;76;73;73;76;74;77;76;66;87;66;67;87;83;77;97;50;90;7;4;4
DOUGLAS;DOUGLAS;Brasil;25;176;70;L;R;AMF; AMF SS;1;77;39;77;75;78;76;84;86;80;86;81;85;80;77;80;78;83;68;72;86;75;40;79;4;5;4
DANRLEI;DANRLEI;Brasil;25;185;82;R;R;GK; GK;1;31;83;84;69;73;90;84;54;58;59;68;63;69;45;86;46;48;48;85;58;89;86;84;6;3;3
EMERSON;EMERSON;Brasil;25;182;79;R;R;DMF; DMF CMF;1;73;81;88;91;77;87;78;81;76;84;83;83;80;75;84;74;76;85;83;84;90;50;92;7;5;4
J�NIOR BAIANO;J. BAIANO;Brasil;25;193;87;R;R;CB; CB;2;69;85;90;84;80;85;75;78;73;75;78;79;82;71;85;76;77;83;82;79;82;50;82;6;6;6
RICARDO ROCHA;R. ROCHA;Brasil;25;182;78;R;R;CB; CB RB;1;67;88;87;83;78;89;79;78;77;80;78;79;78;67;82;68;70;84;86;81;87;50;84;7;5;5
�NGEL ROMANO;ROMANO;Uruguai;25;174;73;R;R;RWF; DMF CMF LMF RMF AMF LWF RWF SS CF;2;85;63;81;85;84;81;85;89;83;84;78;83;79;85;85;79;84;78;78;87;83;50;83;6;6;7
JAIRO ARBOLEDA;ARBOLEDA;Colombia;25;175;71;R;R;AMF; CMF LMF RMF AMF;1;81;40;79;81;79;84;87;92;80;90;85;86;85;77;81;83;83;73;78;91;74;40;87;5;6;6
CL�UDIO;CLAUDIO;Brasil;25;173;70;R;R;GK; GK;1;30;84;80;68;69;89;84;54;57;57;59;64;66;44;82;43;47;44;92;56;80;87;66;6;4;4
R. RODR�GUEZ;R. RODRIGUEZ;Uruguai;25;191;90;R;R;GK; GK;2;32;90;87;67;68;94;83;54;55;64;70;66;69;45;89;47;46;49;87;62;87;89;84;7;4;4
PAULO ROBERTO;PARA;Brasil;25;182;76;R;R;RB; RB;1;76;63;75;85;82;78;85;80;81;82;76;87;79;70;81;79;84;71;76;81;80;50;82;6;4;3
DALMO;DALMO;Brasil;25;174;71;R;R;LB; CB LB RB DMF;1;68;78;80;84;81;81;78;79;79;79;78;81;81;71;81;75;79;74;80;80;83;50;83;6;6;5
VOLPATI;VOLPATI;Italia;25;179;72;R;R;DMF; RB DMF CMF;1;68;76;82;89;81;85;79;79;76;82;83;78;79;67;83;68;70;78;82;78;85;50;86;7;6;5
NILMAR;NILMAR;Brasil;25;180;73;R;R;SS; LMF RMF LWF RWF SS CF;1;84;36;77;79;93;84;92;85;87;78;79;77;79;83;78;75;77;79;81;85;69;50;74;6;7;5
DUDU;DUDU;Brasil;25;172;65;R;R;DMF; CB DMF CMF;2;70;83;83;92;82;85;82;82;78;85;81;84;81;75;79;70;73;78;82;84;93;50;89;8;5;4
DURVAL;DURVAL;Brasil;25;184;78;L;R;CB; CB LB;2;62;83;83;83;77;83;75;72;72;73;72;74;72;67;84;69;67;81;83;74;84;50;80;7;4;4
BRUNO HENRIQUE;B. HENRIQUE;Brasil;25;184;78;R;R;LWF; LMF RMF LWF RWF SS CF;1;83;42;83;83;90;84;87;84;85;77;78;77;77;82;85;73;82;82;87;84;78;50;77;5;5;5
ALEX SANDRO;ALEX SANDRO;Brasil;25;181;79;L;R;LB; CB LB RB LMF;1;75;68;84;87;84;80;83;84;83;77;78;83;85;68;81;67;78;75;77;82;72;50;78;5;6;4
MARCO ANTONIO;M. ANTONIO;Brasil;25;190;86;R;R;CB; CB;1;65;82;88;83;77;81;73;70;71;71;70;73;71;63;83;62;64;87;84;72;81;50;78;7;5;4
LIMA;LIMA;Brasil;25;173;73;R;R;RWF; CB LB RB DMF CMF LMF RMF AMF LWF RWF;2;78;75;79;88;83;79;81;85;79;86;80;85;82;77;87;74;78;75;80;85;83;50;92;7;6;5
ARANHA;ARANHA;Brasil;25;191;90;L;R;GK; GK;1;31;80;89;68;66;85;78;50;52;53;65;58;65;43;83;44;45;45;84;51;79;84;75;6;3;3
ROBERTO CARLOS;R. CARLOS;Brasil;25;169;71;L;R;LB; LB LMF;2;81;71;83;95;95;82;93;81;91;81;86;87;95;78;98;83;98;68;87;88;83;50;85;8;5;3
FEIGENBAUM;FEIGENBAUM;Israel;25;182;79;R;R;CF; CF;2;85;45;86;80;78;86;82;77;78;76;73;74;73;85;84;68;72;87;85;77;79;50;78;6;5;4
TAL BANIN;BANIN;Israel;25;173;70;R;R;DMF; DMF CMF;1;69;70;80;87;78;83;78;77;78;82;83;79;77;70;84;69;74;70;77;78;79;40;83;6;5;5
M. SPIEGLER;SPIEGLER;Israel;25;179;73;L;R;SS; AMF SS;1;86;47;84;85;83;84;84;89;84;85;82;83;80;85;90;77;82;74;78;90;82;45;87;6;7;7
ION VOINESCU;VOINESCU;Romenia;25;174;66;R;R;GK; GK;2;33;92;81;73;73;90;87;57;57;57;57;57;59;44;84;43;47;47;91;51;88;90;84;7;5;4
NECULA R?DUCANU;RICA RADUCANU;Romenia;25;189;85;R;R;GK; GK;2;39;86;88;70;70;88;81;62;63;64;68;63;69;50;86;49;50;55;83;61;83;85;82;7;6;5
DI BARTOLOMEI;DI BARTOLOMEI;Italia;25;180;75;R;R;DMF; CWP DMF CMF AMF;2;80;74;83;85;77;83;78;83;76;87;86;93;85;80;94;87;77;75;75;87;89;40;91;7;6;5
K. WARZYCHA;WARZYCHA;Polonia;25;178;78;R;R;CF; CF;2;91;44;87;81;80;88;83;84;79;78;80;79;76;88;88;74;85;84;80;82;81;50;79;7;6;6
GINO ROSSETTI;ROSSETTI;Italia;25;174;77;L;R;SS; AMF SS CF;1;91;40;86;81;85;84;84;88;83;83;75;82;76;86;88;75;73;79;82;87;83;50;80;7;6;6
NOBERTO HUEZO;HUEZO;El Salvador;25;172;70;R;R;AMF; CMF AMF;1;81;56;81;83;79;77;80;85;79;86;80;85;79;83;84;81;82;71;74;88;81;40;87;6;6;5
CEAR�;CEARA;Brasil;25;175;71;R;R;RB; LB RB LMF RMF;1;73;67;75;86;78;83;84;81;84;76;81;83;77;69;76;82;79;67;78;79;74;50;83;3;6;6
BECATTINI;BECATTINI;Italia;25;168;66;L;R;CB; CB LB;2;63;84;81;84;81;82;85;75;80;76;72;77;74;63;84;61;67;80;95;75;85;50;80;8;4;4
MERTENS;MERTENS;Belgica;25;169;62;R;R;SS; LMF RMF AMF LWF RWF SS CF;2;89;48;76;86;84;87;94;88;89;82;80;83;79;87;83;83;86;68;72;87;80;40;79;7;7;5
R. DE PAUL;DE PAUL;Argentina;25;179;76;R;R;CMF; CMF LMF AMF;1;79;62;79;88;80;82;84;86;83;87;85;87;83;78;85;77;86;59;71;86;84;45;85;5;5;4
A. CECCARINI;CECCARINI;Italia;25;175;71;L;R;LB; CB LB;2;68;79;80;88;82;83;82;78;81;74;75;77;78;68;83;69;72;76;84;77;83;50;86;7;4;4
FRANZ ROTH;ROTH;Alemanha;25;179;82;R;R;CMF; DMF CMF RMF AMF;1;78;65;87;85;80;83;78;82;79;80;80;83;79;78;91;84;83;73;73;80;85;50;81;6;6;6
�SCAR L�PEZ;LOPEZ;Colombia;25;176;75;R;R;CWP; CWP CB;2;59;85;83;86;80;88;81;76;78;82;79;79;78;73;78;70;66;87;87;83;87;50;89;8;5;5
DAVID OSPINA;OSPINA;Colombia;25;183;80;R;R;GK; GK;1;30;86;85;69;72;89;74;58;61;58;67;65;72;45;83;45;48;55;82;58;79;86;75;6;7;7
BERND BRANSCH;BRANSCH;Alemanha;25;180;78;R;R;CWP; CWP CB LB;1;71;87;88;87;80;87;80;78;81;81;77;78;76;68;84;71;74;86;82;79;91;50;89;7;6;6
LAWRIE REILLY;REILLY;Escocia;25;170;72;R;R;CF; LWF RWF CF;1;91;36;83;82;85;93;87;82;83;74;72;73;72;89;86;65;68;87;89;83;83;50;75;7;7;7
GOSTHA PAL;PAL;India;25;175;79;R;R;CB; CB RB DMF;1;58;81;86;78;74;80;73;68;70;73;74;77;75;58;82;61;60;76;77;72;79;50;79;5;5;5
Z� MARIA;ZE MARIA;Brasil;25;175;72;R;R;RB; RB CMF RMF;1;76;68;77;86;81;75;80;83;79;80;77;89;78;74;85;84;82;69;75;84;77;45;86;7;5;5
J. F. BARRAZA;BARRAZA;El Salvador;25;175;75;L;R;AMF; AMF LWF SS;1;86;42;81;81;84;80;86;87;84;86;82;87;83;84;91;84;86;74;76;88;80;40;78;6;5;3
A. H. BARGAS;BARGAS;Argentina;25;174;71;R;R;CB; CWP CB DMF;2;66;84;82;83;79;82;80;80;77;79;75;78;76;69;81;66;69;79;87;81;83;50;83;6;5;5
KAREMBEU;KAREMBEU;Franca;25;178;73;R;R;DMF; CWP RB DMF CMF RMF;1;72;79;86;93;81;84;83;78;81;82;81;81;78;73;83;70;78;79;86;81;88;50;85;6;5;5
HENRI MICHEL;MICHEL;Franca;25;175;70;R;R;CMF; CWP DMF CMF AMF;2;79;71;79;87;80;84;85;87;83;87;84;90;82;78;86;85;84;72;75;89;83;40;92;8;6;5
LO�C AMISSE;AMISSE;Franca;25;166;67;R;R;LWF; LMF LWF;1;81;48;77;80;82;79;87;87;85;78;77;84;79;78;81;76;87;70;70;86;73;40;82;6;3;3
G. H. MAZLOUMI;G. H. MAZLOUMI;Ira;25;182;73;R;R;CF; CF;1;85;32;84;77;71;84;74;73;72;75;73;66;68;85;82;64;66;90;86;75;79;50;76;6;6;5
